asin,title,categoryName,price,boughtInLastMonth,stars,isBestSeller
46163,Adrika Brown Necklace,Necklace and Chains,4033.29,979,3.8,FALSE
40046,ADIDAS Men Berty Black Shorts,Shorts,1398.53,316,4.3,FALSE
48503,French Connection Women Cream Top,Tops,2814.05,848,4,FALSE
54108,Rocia Women Beige Flats,Heels,3165.87,444,3.7,FALSE
10130,Esprit Women Pure E-Ffect Black Steel Watches,Watches,709.03,169,3.6,FALSE
6538,Nike Men's Training Red T-shirt,Tshirts,3233.95,295,4.3,FALSE
34778,Be For Bag Women Pack of 3 Bag,Handbags,1267.36,617,3.5,FALSE
20489,Baggit Women Zanzeel Taj Black Handbag,Handbags,792.73,87,3.7,FALSE
33742,Vero Moda Women Simka Black Top,Tops,4769.98,294,4,FALSE
6660,Nike Women Dunk Low White Grey Shoe,Casual Shoes,4845.34,70,3.6,FALSE
32222,Fabindia Women Striped Green Kurta,Kurtas,4137.79,159,4.1,FALSE
26686,Puma Men Pop Art Red Flip Flops,Flip Flops,1870.76,655,3.7,FALSE
5134,Wrangler Women's Folk Side Print Peach T-shirt,Tshirts,939.52,443,4,FALSE
27827,Bulchee Men Black Leather Belt,Belts,3579.05,459,4.7,TRUE
33185,Sepia Women White Top,Tops,2480.69,697,4.4,FALSE
4522,Puma Men's Faas Grey Shoes,Sports Shoes,1049.17,792,4.2,FALSE
8663,Fastrack Unisex Sunglasses MA012BR1,Sunglasses,2728.3,57,3.6,FALSE
22136,Provouge Men Black Formal Shoes,Formal Shoes,654.75,493,4.4,FALSE
47241,Playboy Men Blue  Casual Shoes,Casual Shoes,4591.94,377,3.7,FALSE
36751,Little Miss Girls Blah White Top,Tops,1664.51,936,3.6,FALSE
13642,Carlton London Brown  Casual Shoe,Casual Shoes,3481.35,339,4.5,FALSE
37945,Mineral Women Soild White Tunic,Tunics,1902.7,812,4.9,TRUE
22484,Global Desi Women Printed Pink Top,Tops,2840.31,560,4.2,FALSE
30714,Fabindia Boys White Churidar,Churidar,2960.2,961,3.6,FALSE
27695,Murcia Women Purple Handbag,Handbags,1331.85,410,4.8,TRUE
19668,United Colors of Benetton Men Blue Printed Sweatshirt,Sweatshirts,4863.13,958,3.6,FALSE
44113,Boss Women Sunset Perfume,Perfume and Body Mist,3988.1,648,4.8,TRUE
41703,Catwalk Women Teal Wedges,Heels,4727.75,765,4.1,FALSE
21251,Skybags Unisex Red Duffle Bag,Duffel Bag,4526.72,268,4,FALSE
39381,Peter England Men Party Black Jeans,Jeans,3190.55,455,4.3,FALSE
31261,Puma Men Munchen Green T-shirt,Tshirts,4648.43,802,4.9,TRUE
40405,Tonga Women Black Dress,Dresses,898.22,972,4.8,TRUE
55522,Revlon Photo Ready Nude Makeup 004,Foundation and Primer,1381.92,881,4.2,FALSE
35418,Enroute Men Black Formal Shoes,Formal Shoes,703.52,819,4.5,FALSE
46434,Timex Men Blue Dial Watch,Watches,1963.99,670,4.4,FALSE
24468,ID Men Brown Casual Shoes,Casual Shoes,2249.05,817,4.5,FALSE
10460,Flying Machine Green Polo Tshirts,Tshirts,1721.07,843,4.7,TRUE
33753,Vero Moda Women Black Top,Tops,4229.32,269,3.6,FALSE
7789,Proline Men Blue Polo T-shirt,Tshirts,2105.39,644,4,FALSE
18377,Undercolors of Benetton Men Red Boxer Trunks,Trunk,1764.21,156,4.9,TRUE
9426,John Miller Men Solid Grey Shirt,Shirts,2942.13,630,4.9,TRUE
25924,Femella Women Orange T-shirt,Tshirts,1134.16,658,3.5,FALSE
27280,Mother Earth Women Black Kurta,Kurtas,4109.89,773,3.8,FALSE
58667,ALayna Women Multi Coloured Kurta,Kurtas,835.48,335,5,TRUE
23816,Puma Men Evo Navy Blue Casual Shoes,Casual Shoes,4940.99,798,4.2,FALSE
45899,Maxima Women Black Dial Watch,Watches,3975.1,57,4.4,FALSE
43978,DKNY Women Brown Delicious Perfume,Perfume and Body Mist,1394.22,855,3.7,FALSE
48615,Lucera Women Silver Earrings,Earrings,524.85,238,4.8,TRUE
11965,Ganuchi Men Grey Sandals,Sandals,4169.58,130,3.8,FALSE
15124,Arrow Men TR Finish Grey Trousers,Trousers,3680.86,157,3.8,FALSE
15898,Warner Bros Kids Blue Dance Casual Shoes,Casual Shoes,3780.53,370,3.8,FALSE
45128,Casio Enticer Men Steel-Toned Analogue Watch MTP-1214A-7AVDF(A344),Watches,3970.72,628,4.9,TRUE
33896,Citizen Men White Dial Watch,Watches,833.2,735,4.6,TRUE
59038,Carlton London Women Silver Toned Flats,Flats,2113.1,395,4.7,TRUE
13331,Gini and Jony Men Check Blue Shirts,Shirts,1021.41,912,4.1,FALSE
48810,Revv Men Steel Pendant,Pendant,4383.97,377,4.9,TRUE
51334,Wildcraft Men Navy Blue Rain Trousers,Rain Trousers,3304.84,604,4.7,TRUE
19546,United Colors of Benetton Women Solid Black Sweatshirt,Sweatshirts,1989.04,748,4.6,TRUE
47257,FCUK Underwear Men Blue Brief,Briefs,786.01,351,5,TRUE
6110,UCB Men's Benetton Logo Purple T-shirt,Tshirts,1899.42,249,4,FALSE
28029,Jockey ELANCE Mens Navy Blue Briefs 1005,Briefs,1963.32,942,4.4,FALSE
2279,Nike Mens Nike Sphere Red T-shirt,Tshirts,3783.23,468,4.9,TRUE
55016,Lakme 3 in 1 Wildberry Aqua Shine Lip Color,Lip Gloss,3369.01,88,4.7,TRUE
23448,Satya Paul Women Multi Coloured Printed Tunic,Tunics,4492.46,781,4.3,FALSE
41460,Lee Cooper Men Black & Beige Sandals,Sandals,2624.97,356,3.6,FALSE
38557,Nike Men Polo Club Blue T-shirt,Tshirts,1038.17,53,4.5,FALSE
9012,Decathlon Men Quechua Grey Floater,Sandals,3709.6,682,4.3,FALSE
9829,Little Miss Women Printed Blue T-shirt,Tshirts,3923.53,897,3.8,FALSE
53812,Ayaany Women Black Patiala Kurta Set,Kurta Sets,3025.75,126,4.8,TRUE
57586,Lotus Herbals Sand Storm Lipstick 181,Lipstick,3969.35,517,4,FALSE
49615,Catwalk Women Brown Heels,Heels,2722.08,228,4.1,FALSE
6174,Lee Men's Striper White Green T-shirt,Tshirts,2852.3,694,4.5,FALSE
22101,Flying Machine Men Grey Casual Shoes,Casual Shoes,2423.93,872,4.2,FALSE
32578,ONLY Women Black Chiffon Top,Tops,614.39,790,3.6,FALSE
20005,United Colors of Benetton Women Blue Printed Top,Tops,985.51,325,4.1,FALSE
16786,ADIDAS Unisex Digital Black Watch,Watches,641.43,201,3.6,FALSE
38424,Baggit Women Purple Handbag,Handbags,3363.85,213,3.8,FALSE
25080,Lino Perros Men Formal Black Accessory Gift Set,Accessory Gift Set,1914.6,339,3.5,FALSE
35319,Fabindia Women Anusuya Silver Earrings,Earrings,2788.57,427,3.8,FALSE
35005,Fabindia Women Printed Black Stole,Stoles,4584.05,670,4,FALSE
51699,Van Heusen Unisex Blue Aviator Sunglasses VH217-C2,Sunglasses,1621.82,687,4.3,FALSE
36845,Spykar Men Skinny Blue Jeans,Jeans,2346.72,801,4.9,TRUE
6279,UCB Women's Halftone Print Grey T-shirt,Tshirts,3899.98,359,4.3,FALSE
28085,Jockey MODERN CLASSIC Men White Y Front Briefs 2007,Briefs,1529.59,979,4.6,TRUE
55140,Lakme Truewear Color Crush 25 Nail Polish,Nail Polish,846.41,962,4,FALSE
10692,Doodle Boy Casual Red Tshirts,Tshirts,1803.88,438,4.6,TRUE
43158,Fastrack Women White Dial Watch,Watches,1225.5,906,4.4,FALSE
29741,Kiara Women Leatherette Green Handbag,Handbags,4683.64,707,4.2,FALSE
56511,Streetwear Lusicious Lips Rustic Copper Lipcolor 18,Lipstick,4136.54,813,3.8,FALSE
15101,Mother Earth Women Printed Black Kurtas,Kurtas,3350.32,232,4,FALSE
39608,Catwalk Women White Heels,Heels,4421.57,870,4.4,FALSE
44757,Globalite Men Black Max Shoes,Casual Shoes,4116.52,355,4.1,FALSE
35817,Enroute Women Black Shoes,Casual Shoes,1339.57,121,4.8,TRUE
41457,Lee Cooper Men Blue Sandals,Sandals,4516.52,268,3.9,FALSE
19010,ADIDAS Originals Women F Sleek Trf Blue T-Shirt,Tshirts,2927.04,768,3.6,FALSE
51178,Raymond Men Grey Socks,Socks,4133.48,222,4.4,FALSE
31297,Puma Women Wowhol Black T-shirt,Tshirts,4532.41,702,4.8,TRUE
7103,Wildcraft Unisex Grey Backpack,Backpacks,1931.02,321,4,FALSE
58870,Hakashi Men Pink Cufflinks,Cufflinks,995.23,775,4.5,FALSE
20026,United Colors of Benetton Men Striped White Shirt,Shirts,1525.71,517,3.8,FALSE
51347,Raymond Men Navy Socks,Socks,2421.99,318,4.3,FALSE
7383,Red Tape Men's Formal Slip-On Black Shoe,Formal Shoes,4181.07,69,4.7,TRUE
23497,Fila Men Strings Black Casual Shoes,Casual Shoes,4373.29,627,4.8,TRUE
21694,Fossil Women Brown Dial Watch ES2949,Watches,531.28,864,3.7,FALSE
47016,Shree Women Beige Printed Kurta,Kurtas,2798.36,552,4,FALSE
18627,Puma Men Striped Full Zip Red Sweaters,Sweaters,2378.35,196,4.5,FALSE
12251,Genesis Men Stripes Navy Blue Shirts,Shirts,1499.49,478,3.6,FALSE
56667,Maxima Men White Dial Watch,Watches,1039.39,214,4.5,FALSE
7688,Puma Men's Logo Bermuda Grey Short,Shorts,2019.27,939,4.3,FALSE
21920,BIBA Women Printed Green Kurta,Kurtas,4743.09,359,3.9,FALSE
41855,Probase Men Blue Cap,Caps,1954.41,567,4.7,TRUE
29420,Giordano Men White Dial Watch,Watches,2834.56,63,3.9,FALSE
6398,Lotto Men Rebel Black Floater,Sandals,3663.59,181,5,TRUE
39687,Lotto Men White Casual Shoes,Casual Shoes,2136.33,903,4.7,TRUE
29061,ADIDAS Women Printed White T-shirt,Tshirts,4873.02,804,4.6,TRUE
56022,Colorbar Flamingo Soft Touch Lipstick 033,Lipstick,4831.01,488,3.6,FALSE
43582,Gini and Jony Boys White Check Shirt,Shirts,1633.02,792,4.9,TRUE
18885,Arrow Woman Simona Black Shirt,Shirts,2737.62,789,4.7,TRUE
18604,New Hide Men Canvas Multi Colour Belt,Belts,1853.95,723,3.8,FALSE
31321,Aurelia Women Printed Black Kurta,Kurtas,1781.78,844,4.1,FALSE
37312,Casio Edifice Men Multi-Dial Watch EF-334D-7AVDF(ED422),Watches,665.99,312,3.9,FALSE
17700,Vans Men E-Street Blue Casual Shoes,Casual Shoes,3243.04,692,5,TRUE
52577,Mod'acc Women Black Clutch,Clutches,2762.06,992,4.8,TRUE
3649,FILA Men Elite Black Casual Shoes,Casual Shoes,731.65,274,4.9,TRUE
8465,Doodle Girls's Princess Purple Teen Top,Tshirts,1753.91,307,4.7,TRUE
12031,Mark Taylor Men White Striped Shirt,Shirts,4587.2,283,4.2,FALSE
50884,Prafful Multi Coloured Printed Sari,Sarees,1578.03,385,3.8,FALSE
4267,Nike Men's Mercurial White Shoe,Sports Shoes,1152.03,458,3.8,FALSE
15087,Mother Earth Men Solid Black Shirts,Shirts,2702.54,877,3.7,FALSE
18761,Arrow Woman Aiyanna White Shirt,Shirts,4935.43,73,4.3,FALSE
55613,Numero Uno Men Brown Shoes,Casual Shoes,1589.25,320,4.9,TRUE
23159,Mark Taylor Men Charcoal Printed T-shirt,Tshirts,3524.61,144,5,TRUE
58311,Jockey LCESCBRA Men Pack of 3 Socks 2004,Socks,3927.29,191,3.9,FALSE
3563,Skechers Men's Black Taupe Lifestyle Casual Shoe,Casual Shoes,1569.37,743,4.5,FALSE
53140,Catwalk Women Red & White Sandals,Heels,3776.97,767,4.4,FALSE
35971,Flying Machine Men Tee Black T-shirt,Tshirts,2155.02,951,4.2,FALSE
22684,Wildcraft Unisex Black Duffel Bag,Duffel Bag,3345.38,130,4.5,FALSE
57292,French Connection Men Blue Shirt,Shirts,3350.88,323,4.1,FALSE
10753,Disney Unisex Kids Basic Navy Blue Flip Flops,Flip Flops,2910.99,325,4.9,TRUE
28576,ADIDAS Originals Men Green Dial Chronograph Watch ADH2619,Watches,906.3,932,4.6,TRUE
10294,Clarks Men Feeling Good Leather Brown Formal Shoes,Formal Shoes,4258.86,514,4.6,TRUE
42778,Allen Solly Kids Green T-shirt,Tshirts,1943.51,257,3.9,FALSE
30195,Nike Unisex Black Backpack,Backpacks,1339.33,345,3.8,FALSE
42623,Estelle Women Earrings,Earrings,683.49,88,4.1,FALSE
6918,Asics Women's Running Graphic Black T-shirt,Tshirts,3159.02,997,4.7,TRUE
58072,Rreverie Silver & Brown Earrings,Earrings,3549.04,337,4.9,TRUE
6188,Lee Men's Striper Grey Red T-shirt,Tshirts,574.65,173,4.1,FALSE
12065,W Women Printed Navy Blue Kurtas,Kurtas,2804.42,925,4.7,TRUE
58007,Latin Quarters Women Chartreuse Yellow Top,Tops,1519.23,332,4.2,FALSE
38366,Peter England Men Black Wallet,Wallets,3403.28,927,3.9,FALSE
20920,Deni Yo Men Check Olive Short,Shorts,1284.65,229,4.6,TRUE
12110,W Women Printed Cream Kurtis,Kurtis,3609.22,146,4.7,TRUE
10669,Doodle Boy Road Trip Grey Tshirts,Tshirts,2240.31,240,3.8,FALSE
6659,Nike Women's Butterfly Thong Black Flip Flop,Flip Flops,4715.28,123,4,FALSE
52470,Red Rose White Camisole,Camisoles,1118.84,496,4.2,FALSE
38616,Nike Men Printed Mamba White T-shirt,Tshirts,2034.8,834,3.8,FALSE
30929,Fabindia Women Grey Skirt,Skirts,1010.63,546,4.9,TRUE
49481,Vans Men Black 106 Vulcanized Italian Leather Shoes,Casual Shoes,4661.12,610,4.4,FALSE
9356,Puma Men Sport Pack of 3 Black Socks,Socks,4448.03,533,3.7,FALSE
28654,Nike Unisex Grey FCB Cap,Caps,1660.74,898,3.8,FALSE
51037,Enamor Women White and Pink Briefs,Briefs,3469.93,771,4.9,TRUE
24911,United Colors of Benetton Kids Boys Grey Printed T-shirt,Tshirts,4177.5,165,4.6,TRUE
35899,Peperone Women Brown Handbag,Handbags,2998.4,584,4.6,TRUE
20025,United Colors of Benetton Men Solid White Shirt,Shirts,2883.43,147,3.6,FALSE
19229,United Colors of Benetton Men Check Brown Tie,Ties,1588.34,377,4.8,TRUE
19450,Quiksilver Men Black T-shirt,Tshirts,918.96,958,4.2,FALSE
54115,Rocia Women Brown Sandals,Heels,4537.47,456,4.5,FALSE
41026,Lee Men Navy Blue Cap,Caps,4551.88,362,4.9,TRUE
47659,Femella Women Black Tunic,Tunics,3348.96,751,3.7,FALSE
28811,Denizen Men Blue Jeans,Jeans,2025.63,743,4.2,FALSE
42029,ADIDAS Women Purple Chill Sports Shoes,Sports Shoes,2071.44,197,3.6,FALSE
13377,Timberland Women Femmes Grey Casual Shoes,Casual Shoes,3766.8,391,4.2,FALSE
30632,Nike Men Challenger Spiked Yellowish Green T-shirt,Tshirts,4537,544,3.9,FALSE
10336,United Colors of Benetton Women Stripes Black Tops,Tops,4491.89,997,4.9,TRUE
4209,Disney Kids Boy's Green Mickey On Skates Kidswear,Tshirts,4009.44,72,4.1,FALSE
18291,Aneri Women Shabana Multi Kurta,Kurtas,3389.14,154,4.5,FALSE
24951,United Colors of Benetton Women Yellow T-shirt,Tshirts,878.63,724,4.8,TRUE
47280,Myntra Men Pack of 3 T-shirts,Tshirts,1227.33,628,5,TRUE
3765,Status Quo Men's Unplugged Yellow T-shirt,Tshirts,4543.49,851,4.3,FALSE
13544,Carlton London Women Coffee Brown Desert Boots,Flats,3228.93,850,4.2,FALSE
20243,Wrangler Women Native Blue Tshirt,Tshirts,541.39,607,3.6,FALSE
42065,American Tourister Unisex Black Trolley Bag,Trolley Bag,956.62,642,3.5,FALSE
21275,Allen Solly Unisex Sunglasses AS123-C3,Sunglasses,3485.76,990,4.4,FALSE
47141,Be For Bag Women Black and White Combo pack Tote Bags,Handbags,522.78,708,3.6,FALSE
20158,Wrangler Men Festa Blue Shirt,Shirts,1223.64,271,4.1,FALSE
50157,Rocia Women Silver Toned Heels,Heels,2969.3,904,3.5,FALSE
49514,Police Men Black Dial Watch PL12895JS-02M,Watches,3613.53,64,4.4,FALSE
6286,UCB Men's Super Star Print Purple T-shirt,Tshirts,3433.83,940,4.1,FALSE
47301,Baggit Women Purple Wallet,Wallets,1509.21,682,3.7,FALSE
49097,Deborah Ultrafine Compact Powder 08,Compact,3704.81,127,3.9,FALSE
47159,Peter England Men Black Belt,Belts,1567.62,371,4.4,FALSE
21500,Kiara Women Square Design Black Handbag,Handbags,1964.3,856,4.5,FALSE
37215,United Colors of Benetton Men Grey Shirt,Shirts,3859.21,290,4.2,FALSE
18879,Arrow Woman Joanna Navy Blue Shirt,Shirts,3423.35,67,4.7,TRUE
5445,Nike Men's Training White T-shirt,Tshirts,4321.51,817,3.7,FALSE
55486,Revlon Blackberry Lip Liner 11,Lip Liner,3459.26,503,3.6,FALSE
45324,Cobblerz Women Pink & White Wedges,Heels,3057.39,492,3.6,FALSE
8471,Scullers For Her Women Wow Woven Purple Shirts,Shirts,921.54,977,4.3,FALSE
36983,Lino Perros Women Black Clutch,Clutches,2154.72,326,4.6,TRUE
26054,John Miller Men Striped Purple Shirt,Shirts,1693.41,473,3.7,FALSE
46878,Lino Perros Men Pack of 2 Socks,Socks,1597.95,525,4.5,FALSE
46537,Timex Women White Dial Watch,Watches,4878.55,76,4.2,FALSE
58521,Wildcraft Men Black Balaclava Cap,Caps,2268.94,563,5,TRUE
3640,Fila Men's Universe HI Black Shoe,Casual Shoes,4514.21,914,4.6,TRUE
46444,Timex Men Black Dial Watch,Watches,3340.12,513,4.5,FALSE
54595,Sushilas Women Multi Coloured Kurta,Kurtas,4076.65,856,4.4,FALSE
6486,Red Tape Men STN Formal Light Brown Shoe,Casual Shoes,2761.87,873,5,TRUE
5382,Quechua Arpenaz  300,Sports Shoes,3096.07,412,5,TRUE
5430,Ant Kids Boy's White Check Kidswear,Shirts,2716.33,432,4.3,FALSE
59932,Diva Women White Kurta,Kurtas,1378.59,800,4.2,FALSE
18577,Puma Women Riddim Purple Tshirt,Tshirts,3751.03,574,4.2,FALSE
41002,Gini and Jony Girls Woven Blue Skirt,Skirts,1763.48,431,4.1,FALSE
4035,Myntra Men's Not Tonight Ladies I am Just Black T-shirt,Tshirts,609.42,233,4.3,FALSE
43993,Police Women Passion Perfume,Perfume and Body Mist,3404.63,243,3.9,FALSE
4101,Puma Women Green Navy Baby Blue Floater,Sports Sandals,1297,511,4.9,TRUE
53566,Q&Q Kids Unisex White Dial Watch,Free Gifts,4732.06,105,4.2,FALSE
35793,Enroute Women Purple Shoes,Casual Shoes,4792.68,279,4.8,TRUE
56582,Streetwear Crystal Shine Bronze Face Brightener Loose Powder,Highlighter and Blush,4616.89,538,4.2,FALSE
6985,s.Oliver Men's Denim Dstrct White T-shirt,Tshirts,2165.71,77,4.6,TRUE
17947,Puma Men No. 1 logo Blue Track Pant,Track Pants,569.55,881,4,FALSE
43393,Lino Perros Men Brown Wallet,Wallets,4677.43,632,4.4,FALSE
25994,Jaguar Prestige Men Perfume,Perfume and Body Mist,2426.83,771,4.2,FALSE
42655,Alma Women Maroon Kurta,Kurtas,4849.95,233,4.1,FALSE
43940,Catwalk Women Gold Heels,Heels,4836.29,474,4.8,TRUE
56315,Fastrack Women Black Dial Watch,Watches,4338.54,424,3.7,FALSE
36102,OTLS Men Laurel Black Wallet,Wallets,1825.02,917,4.2,FALSE
24361,Folklore Women Blue Printed Kurta,Kurtas,2232.94,90,3.8,FALSE
50293,Parx Men Black Tie,Ties,4330.12,533,4.8,TRUE
25189,Lino Perros Women Classic Beige Handbag,Handbags,1926.15,309,3.9,FALSE
55083,Pond's White Beauty Naturals Spot-Less Lightening Cream,Face Moisturisers,1262.72,490,4.5,FALSE
7544,Nike Women Classic Grey Capri,Capris,3005.61,975,3.7,FALSE
43537,French Connection Women Green Top,Tops,4712.7,905,4.1,FALSE
12947,Basics Men Blue Striped T-shirt,Tshirts,3632.13,133,4.8,TRUE
43036,Scullers Men White & Navy Blue Shirt,Shirts,3065.28,95,3.7,FALSE
51771,Hidedge Men Black Wallet,Wallets,937.29,489,4.5,FALSE
27989,Jockey ZONE Men Zone Blue Brief US17,Briefs,3267.53,720,3.8,FALSE
43519,French Connection Women Navy Blue Top,Tops,4955.24,905,4.1,FALSE
33687,Cobblerz Men Brown Casual Shoes,Casual Shoes,1130.38,568,4.3,FALSE
46824,Catwalk Women Blue Shoes,Heels,2832.48,894,4.4,FALSE
31813,Titan Men Black Dial Watch,Watches,4448.18,487,4.4,FALSE
4944,Gini and Jony Boy's Kaleb White Brown Infant Kidswear,Shirts,3833.46,185,4.5,FALSE
41261,Arrow Men Brown Wallet,Wallets,3636.57,232,3.9,FALSE
53994,Kiara Women White Handbag,Handbags,3661.18,758,4.1,FALSE
16275,Free Authority Men Stripes Purple Sweatshirts,Sweatshirts,2117.71,221,3.6,FALSE
59217,Titan Men Brown Watch,Watches,1821.16,958,4.7,TRUE
3202,Tantra Men's Who Are You Blue T-shirt,Tshirts,4142.13,910,4.8,TRUE
33642,Lotto Men Navy Blue Koro Slippers,Flip Flops,4145.51,837,3.8,FALSE
26548,ID Men Blue Shoes,Casual Shoes,4401.83,639,3.8,FALSE
41517,Basics Men Sunglasses,Sunglasses,4609.58,977,3.6,FALSE
52089,Myntra Women Black T-shirt,Tshirts,2801.04,739,5,TRUE
41682,Catwalk Women Black Heels,Heels,2756.82,588,4.7,TRUE
40419,Tonga Women White & Blue Printed Top,Tops,4092.33,169,4,FALSE
12742,Timberland Unisex Solid Black Backpacks,Backpacks,3424.84,330,4.2,FALSE
30294,Myntra Men Global Response Off White T-shirt,Tshirts,3658.85,357,3.9,FALSE
19601,United Colors of Benetton Women Printed Peach Top,Tops,4081.07,757,4.4,FALSE
3236,Puma Women Red Sneakers,Casual Shoes,4505.02,326,4.6,TRUE
47458,Tiptopp Women Black Wedges,Heels,2020.98,579,4.2,FALSE
47324,Baggit Women Brown Shell Hoor Wallet,Wallets,2190.12,344,4.8,TRUE
37782,John Players Men White & Yellow Striped Shirt,Shirts,922.92,832,4.3,FALSE
27881,Scullers For Her Beige Shirt,Shirts,3102.26,102,3.7,FALSE
10771,Disney Kids Red Casual Shoes,Casual Shoes,661.74,855,4.4,FALSE
6612,Spykar Women's Stripes Navy White T-shirt,Tshirts,2595.19,481,4.2,FALSE
28133,Jockey COMFORT PLUS Men Black Brief 8044,Briefs,2941.9,101,4.9,TRUE
16198,Puma Men Poly Knitted Black Tracksuit,Tracksuits,1789.44,777,4.1,FALSE
19844,U.S. Polo Assn. Men Check Red Shirt,Shirts,3158.75,121,4.1,FALSE
16288,Peter England Men Printed Grey TShirt,Tshirts,637.25,77,4.5,FALSE
18499,Puma Men Striped Navy Blue Sweater,Sweaters,668.07,518,4.3,FALSE
47626,Portia Women Black Wedges,Heels,4201.7,961,4.1,FALSE
2044,ADIDAS Mens Graphic T-shirt,Tshirts,2120.86,813,5,TRUE
51722,Allen Solly Men Blue Sunglasses AS232-C4,Sunglasses,1071.77,935,4,FALSE
6164,Lee Men's Stallion Red Jasper T-shirt,Tshirts,2850.09,961,3.9,FALSE
27672,Murcia Women Brown Handbag,Handbags,3964.97,596,4.8,TRUE
51478,Denizen Men Black Printed T-shirt,Tshirts,1471.19,450,3.5,FALSE
25100,Lino Perros Women Tan Belt,Belts,3303.01,250,3.8,FALSE
11006,Puma Men Race Luminous Black Chronograph Watch,Watches,884.06,810,4.4,FALSE
35874,Marvel Boys Comics Grey T-shirt,Tshirts,732.57,660,3.7,FALSE
19950,Puma Men Solid Olive Sweatshirt,Sweatshirts,2891.1,869,5,TRUE
19563,United Colors of Benetton Men Solid Grey TShirt,Tshirts,2932.86,515,4.2,FALSE
33521,Cobblerz Women Brown Wedges,Heels,3368.43,701,4.4,FALSE
59888,Femella Women Beige Tube Top,Tops,3767.41,644,3.7,FALSE
27467,Jockey Women Skin Bikini Brief,Briefs,4891.33,609,3.9,FALSE
55516,Revlon Top Speed 60 Natural Brown Ammonia-Free Hair Colour,Hair Colour,2823.35,839,4.4,FALSE
53893,Kiara Women Green Handbag,Handbags,1953.3,428,4.3,FALSE
45218,CASIO ENTICER Women Black Dial Watch A673,Watches,4078.34,809,4.7,TRUE
6506,ADIDAS Men's Badge White T-shirt,Tshirts,1718.75,944,3.9,FALSE
17309,Pepe Jeans Men Casual Sunglasses,Sunglasses,2475.37,226,4.5,FALSE
32238,Fabindia Women Printed Black Kurta,Kurtas,853.05,101,3.9,FALSE
30960,Fabindia Women Black Kalamkari Tunic,Tunics,614.08,128,4.4,FALSE
59703,Avirate Black & White Brief,Briefs,4831.92,434,4.4,FALSE
10355,United Colors of Benetton Men Stripes Blue Shirts,Shirts,4261.91,883,3.7,FALSE
53080,Rocia Women Purple Clutch,Clutches,3631.88,625,4.3,FALSE
6297,Puma Unisex Surf Black White Flip Flop,Flip Flops,2340.29,57,3.5,FALSE
11103,Indigo Nation Men Stripes Blue Shirts,Shirts,1279.82,263,4.3,FALSE
14533,Mark Taylor Men Printed Green Tshirts,Tshirts,1203.97,74,4.5,FALSE
18445,Ed Hardy Love & Luck  Women Perfumes,Perfume and Body Mist,1626.09,499,3.6,FALSE
55509,Revlon Coffee Gleam Super Lustrous Lip Gloss 06,Lip Gloss,2971.52,817,4.9,TRUE
5384,Quechua Arpenaz Flex Man Beige,Sports Shoes,3715.68,804,4.2,FALSE
43227,United Colors of Benetton Women Brown Handbag,Handbags,3470.89,506,4.9,TRUE
